ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
2,CUB,CUB23DECFUT,5000,147.5,1.3559322033898304,10000.0,2,5.300000000000001,7.050000000000001,7.25,7.699999999999999,8.7,9.3,CUB23DECFUT
31,CUMMINSIND,CUMMINSIND23DECFUT,300,1993.2,1.5552879791290388,9300.0,31,69.25,73.25,102.4,108.6,114.3,122.45,CUMMINSIND23DECFUT
2,DABUR,DABUR23DECFUT,1250,535,0.3738317757009346,2500.0,5,8.649999999999999,11.6,14.35,16.65,17.55,17.6,DABUR23DECFUT
21,DALBHARAT,DALBHARAT23DECFUT,250,2323,0.9040034438226432,5250.0,82,59.5,74.8,89.35,89.6,95.6,98.3,DALBHARAT23DECFUT
24,DEEPAKNTR,DEEPAKNTR23DECFUT,300,2453.85,0.9780548933308881,7200.0,31,87.1,101.55,119.75,120.7,133.85000000000002,143.75,DEEPAKNTR23DECFUT
5,DELTACORP,DELTACORP23DECFUT,2800,147.55,3.3886818027787187,14000.0,5,5.5,12.35,15.6,13.9,12.35,12.1,DELTACORP23DECFUT
46,DIVISLAB,DIVISLAB23DECFUT,200,3884.9,1.184071662076244,9200.0,56,80.75,111.3,137.25,147.85000000000002,159.5,139.95,DIVISLAB23DECFUT
69,DIXON,DIXON23DECFUT,100,6440.25,1.071386980319087,6900.0,69,215.4,286.95,320.15,382.9,376.35,417.05,DIXON23DECFUT
5,DLF,DLF23DECFUT,1650,717.7,0.6966699177929496,8250.0,6,18.7,21.4,20.9,24.55,26.9,29.15,DLF23DECFUT
29,DRREDDY,DRREDDY23DECFUT,125,5702,0.5085934759733427,3625.0,55,106.85,137.55,178.5,191.15,209.75,203.9,DRREDDY23DECFUT
25,EICHERMOT,EICHERMOT23DECFUT,175,4096.6,0.6102621686276424,4375.0,58,87.15,123.6,161.1,155.2,172.4,163.8,EICHERMOT23DECFUT
38,ESCORTS,ESCORTS23DECFUT,275,2955.65,1.2856732021721111,10450.0,51,86.85,104.9,143.6,144.85000000000002,158.2,156.7,ESCORTS23DECFUT
2,EXIDEIND,EXIDEIND23DECFUT,3600,300.75,0.6650041562759768,7200.0,3,7.949999999999999,10.1,13.4,14.9,16.75,15.4,EXIDEIND23DECFUT
1,FEDERALBNK,FEDERALBNK23DECFUT,5000,153.9,0.649772579597141,5000.0,1,3.7,4.85,5.4,6.85,7.15,7.6,FEDERALBNK23DECFUT
1,GAIL,GAIL23DECFUT,4575,151.75,0.6589785831960462,4575.0,3,5.75,5.2,5.95,7.35,8.05,8.5,GAIL23DECFUT
12,GLENMARK,GLENMARK23DECFUT,725,844.85,1.4203704799668582,8700.0,13,27.6,35.65,41.4,50.150000000000006,55.45,50.6,GLENMARK23DECFUT
1,GMRINFRA,GMRINFRA23DECFUT,11250,73.45,1.3614703880190604,11250.0,1,3.25,3.95,4.35,5.550000000000001,6.449999999999999,6.4,GMRINFRA23DECFUT
5,GNFC,GNFC23DECFUT,1300,739.4,0.676223965377333,6500.0,11,19.85,27.45,32.45,36.5,40.25,44.5,GNFC23DECFUT
13,GODREJCP,GODREJCP23DECFUT,500,1103.85,1.177696244960819,6500.0,16,24.25,61.8,37.2,40.65,42.1,44.25,GODREJCP23DECFUT
9,GODREJPROP,GODREJPROP23DECFUT,475,2003.55,0.44920266526914726,4275.0,22,53.650000000000006,69.15,85.8,97.95,103.7,116.3,GODREJPROP23DECFUT
6,GRANULES,GRANULES23DECFUT,2000,396,1.5151515151515151,12000.0,6,11.75,14.65,19.5,24.15,26.15,25.0,GRANULES23DECFUT
10,GRASIM,GRASIM23DECFUT,475,2124.15,0.4707765459124826,4750.0,59,40.75,46.65,61.2,63.1,66.6,70.8,GRASIM23DECFUT
4,GUJGASLTD,GUJGASLTD23DECFUT,1250,449.65,0.8895807850550429,5000.0,4,12.25,13.2,16.05,18.65,20.05,20.15,GUJGASLTD23DECFUT
30,HAL,HAL23DECFUT,300,2805.85,1.0691947181780923,9000.0,30,62.900000000000006,99.6,136.35,167.4,184.7,191.8,HAL23DECFUT
9,HAVELLS,HAVELLS23DECFUT,500,1361.35,0.6611084585154443,4500.0,9,31.8,41.0,52.15,60.65,51.65,52.85,HAVELLS23DECFUT
9,HCLTECH,HCLTECH23DECFUT,700,1470.35,0.6120991600639304,6300.0,13,33.85,37.9,43.05,50.400000000000006,57.55,58.7,HCLTECH23DECFUT
30,HDFCAMC,HDFCAMC23DECFUT,300,3220.25,0.931604689076935,9000.0,40,82.05,105.1,128.5,146.4,139.0,150.2,HDFCAMC23DECFUT
11,HDFCBANK,HDFCBANK23DECFUT,550,1699.1,0.6474015655346949,6050.0,19,23.700000000000003,30.05,29.8,33.7,36.5,39.1,HDFCBANK23DECFUT
7,HDFCLIFE,HDFCLIFE23DECFUT,1100,642.95,1.0887316276537833,7700.0,7,13.05,18.25,22.15,26.85,30.0,31.5,HDFCLIFE23DECFUT
27,HEROMOTOCO,HEROMOTOCO23DECFUT,300,4047,0.6671608598962194,8100.0,22,80.85,100.4,120.8,133.25,149.5,156.60000000000002,HEROMOTOCO23DECFUT
6,HINDALCO,HINDALCO23DECFUT,1400,605,0.9917355371900827,8400.0,24,15.75,16.9,17.9,21.5,23.55,24.65,HINDALCO23DECFUT
3,HINDCOPPER,HINDCOPPER23DECFUT,5300,236.4,1.2690355329949239,15900.0,5,68.05,12.25,12.55,15.6,49.2,14.5,HINDCOPPER23DECFUT
