,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol,2023-12-28
98,2.15,2.3,2.6,2.65,2.4,2.7,2.85,IDEA24JANFUT,2
99,39.65,40.75,0.0,0.0,0.0,0.0,0.0,ICICIPRULI24JANFUT,35
100,160.05,160.05,160.05,157.75,157.75,175.0,172.8,ICICIGI24JANFUT,83
101,53.35,53.55,53.0,53.9,54.7,138.3,57.5,ICICIBANK24JANFUT,52
102,119.25,125.8,120.5,122.3,123.35,134.4,128.65,HINDUNILVR24JANFUT,111
103,43.150000000000006,86.1,38.3,38.650000000000006,85.89999999999999,102.3,81.85,HINDPETRO24JANFUT,46
104,63.900000000000006,72.6,65.15,30.700000000000003,27.6,63.85,57.55,HINDCOPPER24JANFUT,4
105,53.55,49.6,140.05,43.75,50.85,135.25,136.7,HINDALCO24JANFUT,48
106,281.0,290.25,0.0,836.7,705.35,854.55,789.4499999999999,HEROMOTOCO24JANFUT,287
107,44.5,44.8,43.2,48.05,48.75,100.2,105.4,HDFCLIFE24JANFUT,42
108,77.85,78.85,80.7,83.05,75.5,78.2,83.1,HDFCBANK24JANFUT,77
109,0.0,247.0,0.0,584.35,511.55,522.65,523.5,HDFCAMC24JANFUT,181
110,100.2,104.3,255.4,87.3,47.05,247.85,117.15,HCLTECH24JANFUT,93
111,0.0,0.0,91.05,0.0,0.0,0.0,167.05,HAVELLS24JANFUT,93
112,,306.45,0.0,0.0,305.45000000000005,,1163.75,HAL24JANFUT,271
113,34.05,36.9,33.0,33.05,32.0,37.05,74.75,GUJGASLTD24JANFUT,33
114,143.95,131.65,249.45,119.75,103.5,98.05,285.1,GRASIM24JANFUT,118
115,36.8,40.7,35.75,69.25,46.65,83.0,83.0,GRANULES24JANFUT,33
116,191.4,196.1,188.45,423.65,198.5,214.8,540.4,GODREJPROP24JANFUT,176
117,89.9,97.25,158.3,142.55,126.7,126.7,118.4,GODREJCP24JANFUT,82
118,69.80000000000001,164.85000000000002,145.05,143.55,132.05,155.15,156.35000000000002,GNFC24JANFUT,68
119,9.65,10.2,11.95,11.1,9.7,10.55,11.5,GMRINFRA24JANFUT,9
120,79.55000000000001,80.0,86.75,85.7,83.75,146.5,145.95,GLENMARK24JANFUT,72
121,15.15,16.35,16.05,14.25,13.25,33.9,28.1,GAIL24JANFUT,16
122,11.0,11.15,11.35,23.65,12.1,12.9,24.4,FEDERALBNK24JANFUT,11
123,28.15,24.1,11.6,50.7,10.2,73.15,73.4,EXIDEIND24JANFUT,24
124,250.35,247.5,247.0,259.5,460.3,370.0,370.0,ESCORTS24JANFUT,231
125,,840.85,326.1,280.0,0.0,858.7,769.2,EICHERMOT24JANFUT,280
126,579.15,369.9500000000001,376.3,382.1,554.6,458.15,554.6,DRREDDY24JANFUT,342
127,56.3,58.1,58.2,55.95,51.6,56.85,201.1,DLF24JANFUT,52
128,613.4000000000001,632.5,681.2,730.8,523.15,1301.95,523.15,DIXON24JANFUT,583
129,337.4,355.85,338.45,306.85,254.2,327.8,227.5,DIVISLAB24JANFUT,311
130,33.55,35.3,39.95,33.4,20.65,35.3,34.3,DELTACORP24JANFUT,18
131,621.1,250.35,248.85,222.3,368.2,415.2,428.2,DEEPAKNTR24JANFUT,231
132,209.15,374.7000000000001,333.04999999999995,350.0,333.04999999999995,391.55,403.1,DALBHARAT24JANFUT,169
133,28.25,49.2,49.2,57.55,30.3,57.0,52.65,DABUR24JANFUT,29
134,190.75,442.55,418.15,97.55,98.4,109.65,313.3,CUMMINSIND24JANFUT,165
135,14.4,14.4,12.05,27.6,31.2,36.1,38.35,CUB24JANFUT,13
136,35.5,40.55,45.55,40.55,28.9,29.8,39.650000000000006,CROMPTON24JANFUT,28
137,106.0,193.6,174.0,162.45,152.0,180.25,180.25,COROMANDEL24JANFUT,101
138,62.55,68.4,45.900000000000006,63.900000000000006,150.7,174.25,53.05,CONCOR24JANFUT,67
139,460.05,468.1,120.5,123.75,397.55,364.7000000000001,397.55,COLPAL24JANFUT,116
140,566.8,552.65,577.35,503.6,1698.9,607.5,1789.75,COFORGE24JANFUT,524
141,31.35,32.650000000000006,87.5,89.3,32.95,79.60000000000001,32.650000000000006,COALINDIA24JANFUT,30
142,83.45,84.65,80.15,83.5,152.39999999999998,154.7,134.95,CIPLA24JANFUT,79
143,87.95,87.6,87.85,179.14999999999998,182.75,202.9,199.5,CHOLAFIN24JANFUT,90
144,38.7,101.0,90.05,77.55,66.2,81.60000000000001,85.75,CHAMBLFERT24JANFUT,38
145,65.9,68.1,82.4,82.4,122.95,131.45,131.45,CANFINHOME24JANFUT,66
146,36.9,34.35,34.349999999999994,36.05,35.85,41.35,110.05,CANBK24JANFUT,36
